#Subject	Angle	Frequency	Speed	Average_cursor_speed
12	30	4	1.46	252.886990317
12	30	8	1.46	244.035263829
12	60	13	1.46	205.322131582
12	60	1	1.46	309.711611881
12	60	20	1.46	126.959510684
12	60	2	1.46	278.915146942
12	60	30	1.46	206.893626138
12	60	4	1.46	236.229485862
12	60	8	1.46	176.199803205
12	90	13	1.46	228.47828607
12	90	1	1.46	263.14648035
12	90	20	1.46	220.733278133
12	90	2	1.46	225.833957853
12	90	30	1.46	158.945891819
12	90	4	1.46	219.796996737
12	90	8	1.46	222.792752701
13	0	13	1.46	193.440520471
13	0	1	1.46	261.463368559
13	0	20	1.46	282.176470237
13	0	2	1.46	231.012051894
13	0	30	1.46	193.9703887
13	0	4	1.46	231.113949047
13	0	8	1.46	243.861093077
13	120	13	1.46	103.806822901
13	120	1	1.46	147.852915468
13	120	20	1.46	173.812882927
13	120	2	1.46	141.086251176
13	120	30	1.46	131.624099222
13	120	4	1.46	108.476274012
13	120	8	1.46	88.1929887981
13	180	13	1.46	246.566406583
13	180	1	1.46	196.706087345
13	180	20	1.46	228.48277153
13	180	2	1.46	142.911853358
13	180	30	1.46	228.242260869
13	180	4	1.46	117.631462303
13	180	8	1.46	51.9026422508
13	30	13	1.46	152.301060237
13	30	1	1.46	212.983448661
13	30	20	1.46	126.577021861
13	30	2	1.46	155.903790847
13	30	30	1.46	161.785847574
13	30	4	1.46	207.581598578
13	30	8	1.46	141.448109888
13	60	13	1.46	128.618801943
13	60	1	1.46	171.531851892
13	60	20	1.46	83.0282599259
13	60	2	1.46	245.156978715
13	60	30	1.46	108.07046206
13	60	4	1.46	145.602184306
13	60	8	1.46	120.664300207
13	90	13	1.46	105.786278842
13	90	1	1.46	214.854281901
13	90	20	1.46	76.3528285608
13	90	2	1.46	128.79603974
13	90	30	1.46	152.603162238
13	90	4	1.46	99.9671034598
13	90	8	1.46	134.815883801
