Angle	Frequency	m	p
64	80	2.41923003513	0.0462253955651
72	80	2.17895725136	0.0016054641906
80	80	2.00200851862	-0.0182952966371
96	80	1.65940153005	-0.00628921814627
112	80	1.41740306806	0.0102601431789
128	80	1.2532040892	-0.0110611220542
144	80	1.09292778983	0.00631467134086
160	80	0.971259286944	0.0240289234711
180	80	0.879844384834	-0.00162558080748

0.5	96	9.992358898	-2.18683313573e-05
1	96	9.97729631769	-0.00184052176635
2	96	9.91119656863	-0.00231632654964
4	96	9.67051407304	-0.0169616412926
8	96	8.76865631285	0.00499735308629
16	96	6.62846768899	-0.0237827475516
24	96	5.08947796349	0.0468945351992
32	96	4.13551963055	0.0105577224741
40	96	3.41274445307	0.0499955555672
48	96	2.9529184606	-0.0195737292212
56	96	2.5582579556	0.0198260604874
64	96	2.28112387775	-0.00972008493139
72	96	2.02316351366	0.0146966824117
80	96	1.83644131933	-0.00311263445135
96	96	1.52948631515	0.0173628953661
112	96	1.30889309621	0.0143115896924
128	96	1.14440417942	0.0002153743912
144	96	1.00859748047	0.004822066161
160	96	0.915102478371	-0.0139374696259
180	96	0.810800439739	-0.000748243908092

0.5	112	9.990872378	0.000511459650655
1	112	9.97198964886	-0.00101580700979
2	112	9.8876866616	0.00484420900284
4	112	9.58148576154	0.00346544865908
8	112	8.48333035518	0.0501382751982
16	112	6.21080901241	0.129563357028
24	112	4.78330846315	-0.00268936657906
32	112	3.81509504519	-0.00745511792302
40	112	3.17068270011	0.00189486741028
48	112	2.70067561535	-0.00910227123937
56	112	2.34486564946	0.0212692042957
64	112	2.05319422861	0.0274460844264
72	112	1.81219402892	0.0621818854729
80	112	1.68797759091	-0.0161791175849
96	112	1.40080695689	0.000982459974872
112	112	1.18292707786	0.0138837762655
128	112	1.04448281947	-0.0109034540893
144	112	0.936735565754	-0.0176934158438
160	112	0.816754700549	0.00137981211792
180	112	0.734844374941	0.00137729980763

0.5	128	9.99050478105	-0.000107383391678
1	128	9.96857080294	-0.00066938529628
2	128	9.87945611587	-0.00319228877991
4	128	9.5431330465	-0.0100614262179
8	128	8.39560421203	0.0062156205438
16	128	6.07654648438	-0.0706986720387
24	128	4.53300459309	0.0758592739969
32	128	3.67297195938	-0.0429372262303
40	128	3.01510146701	0.0167771158386
48	128	2.55113640079	0.0105223748564
56	128	2.18976446486	0.0555099081761
64	128	1.96213330069	0.0199173263801
72	128	1.75902913169	-0.000880420320751
80	128	1.60254312912	-0.0217838147668
96	128	1.32970069098	-0.00608792543538
112	128	1.12929722615	-0.00170752805263
128	128	0.983998052543	-0.00271105357769
144	128	0.866200453224	0.00900372573955
160	128	0.776780709321	-0.00215973730276
180	128	0.692579730167	-0.00420856303898

0.5	160	9.98952284028	5.12872805879e-05
1	160	9.96293336301	0.00176245688765
2	160	9.85707743531	0.00288560024437
4	160	9.4830706267	-0.0237279535813
8	160	8.17594182828	0.0267637565696
16	160	5.79630054712	0.0665128708781
24	160	4.32168058059	0.010203183925
32	160	3.43204375076	0.0149082369114
40	160	2.87139190429	-0.024005377195
48	160	2.42272238459	-0.0136957629075
56	160	2.1101311546	-0.00114431406319
64	160	1.8278422566	0.0223652431437
72	160	1.63653908334	0.00596280642824
80	160	1.50556607424	-0.0165361104548
96	160	1.24207428079	-0.00244543257979
112	160	1.06469933528	0.00144214378558
128	160	0.925884123307	-0.00644701202683
144	160	0.81723539676	-0.00367581702332
160	160	0.735153545651	-0.00717720201913
180	160	0.647935941749	-0.00384650234405

0.5	192	9.98764744338	0.000432406720926
1	192	9.95765503733	-0.000449129411537
2	192	9.83518712699	0.00449460112865
4	192	9.38140490304	0.0117418825879
8	192	7.94877893675	0.0264053000012
16	192	5.50626568563	0.0217072719597
24	192	4.09869538379	-0.00544373844606
32	192	3.18418963348	0.0350381287886
40	192	2.64075256068	0.00843128530697
48	192	2.29040687137	-0.0447656801641
56	192	1.96797932323	0.00740359087251
64	192	1.75355300769	-0.0286279495781
72	192	1.55635636247	-0.0158180214633
80	192	1.40652231216	-0.0203489837542
96	192	1.16397875408	-0.0111226837347
112	192	0.985303078027	0.00350025244781
128	192	0.855252445981	-0.00123655019308
144	192	0.767444345758	-0.0150314521184
160	192	0.672988849349	0.00752517239001
180	192	0.59629940425	0.0068908739006

0.5	224	9.9849671576	0.00113206554084
1	224	9.94661724214	0.00232293031376
2	224	9.80051498229	0.00699783974471
4	224	9.27998103304	0.0255899278376
8	224	7.74110669505	-0.106095652417
16	224	5.25100744686	-0.103201306993
24	224	3.81107541129	0.0107083024936
32	224	2.9917346637	0.0104839680997
40	224	2.48873764684	-0.0377780242426
48	224	2.1130410285	-0.0399946643681
56	224	1.82066625883	-0.0262544543204
64	224	1.58008692389	0.0150577628635
72	224	1.4231684581	-0.0105656144173
80	224	1.26427448844	0.0174410455481
96	224	1.05949974867	-0.0033791279592
112	224	0.898527227967	0.0122899696935
128	224	0.789111544374	-0.00254137894761
144	224	0.686986487805	0.00699612059417
