A_exp	F_exp	Mean_std
0.1494	2.124	2.74116273798
0.1494	2.173	2.74081066867
0.1494	2.223	2.74081066867
0.1494	2.272	2.74081066867
0.1494	2.322	2.74651192797
0.1494	2.371	2.75609499148
0.1494	2.42	2.75406984337
0.1494	2.47	2.75136590824
0.1494	2.519	2.75136590824
0.1494	2.568	2.74888486081
0.1494	2.618	2.76038588572
0.1494	2.667	2.76038588572
0.1494	2.716	2.75951213733
0.1494	2.766	2.76375794488
0.1494	2.815	2.76375794488
0.1494	2.865	2.76454080086
0.1494	2.914	2.76217606984
0.1494	2.963	2.75987001046
0.1494	3.013	2.75987001046
0.1494	3.062	2.76299829954
0.1494	3.111	2.76299829954
0.1494	3.161	2.76299829954
0.1494	3.21	2.76299829954
0.1494	3.259	2.7646678787
0.1494	3.309	2.7646678787
0.1494	3.358	2.7693839905
0.1494	3.408	2.771929943
0.1494	3.457	2.771929943
0.1494	3.506	2.771929943
0.1494	3.556	2.77823647138
0.1494	3.605	2.77542316424
0.1494	3.654	2.77542316424
0.1494	3.704	2.77542316424
0.1494	3.753	2.7750370167
0.1494	3.803	2.7750370167
0.1494	3.852	2.7750370167
0.1494	3.901	2.7750370167
0.1494	3.951	2.7750370167
0.1494	4	2.7750370167

0.1987	0.1	0.16534762726
0.1987	0.1494	0.65073398291
0.1987	0.1987	1.06907159865
0.1987	0.2481	1.42556504775
0.1987	0.2975	1.69305878418
0.1987	0.3468	1.87051549995
0.1987	0.3962	2.01386118892
0.1987	0.4456	2.13102279262
0.1987	0.4949	2.23015811511
0.1987	0.5443	2.28061280582
0.1987	0.5937	2.32000732245
0.1987	0.643	2.38467034959
0.1987	0.6924	2.41359727752
0.1987	0.7418	2.45744413884
0.1987	0.7911	2.48135683942
0.1987	0.8405	2.52257337072
0.1987	0.8899	2.53501818529
0.1987	0.9392	2.55293413654
0.1987	0.9886	2.57025494313
0.1987	1.038	2.5905763583
0.1987	1.087	2.60386198875
0.1987	1.137	2.61189157239
0.1987	1.186	2.62369689594
0.1987	1.235	2.62599570234
0.1987	1.285	2.62669363557
0.1987	1.334	2.64902634934
0.1987	1.384	2.65864263668
0.1987	1.433	2.65660095328
0.1987	1.482	2.66375190998
0.1987	1.532	2.66500882855
0.1987	1.581	2.67788124215
0.1987	1.63	2.68209795082
0.1987	1.68	2.69251342922
0.1987	1.729	2.6998948581
0.1987	1.778	2.70678763547
0.1987	1.828	2.7087732011
0.1987	1.877	2.70909968227
0.1987	1.927	2.71086068773
0.1987	1.976	2.71467235472
0.1987	2.025	2.71962947272
0.1987	2.075	2.72351170673
0.1987	2.124	2.72698105668
0.1987	2.173	2.72541802748
0.1987	2.223	2.72770409169
0.1987	2.272	2.73051108385
0.1987	2.322	2.73361824716
0.1987	2.371	2.73361824716
0.1987	2.42	2.73650073858
0.1987	2.47	2.7381400406
0.1987	2.519	2.73607838271
0.1987	2.568	2.74193490827
0.1987	2.618	2.738856803
0.1987	2.667	2.738856803
0.1987	2.716	2.74267335787
0.1987	2.766	2.74267335787
0.1987	2.815	2.74116273798
0.1987	2.865	2.73881457588
0.1987	2.914	2.74081066867
0.1987	2.963	2.74081066867
0.1987	3.013	2.74081066867
0.1987	3.062	2.74651192797
0.1987	3.111	2.74651192797
0.1987	3.161	2.75609499148
0.1987	3.21	2.75609499148
0.1987	3.259	2.75406984337
0.1987	3.309	2.75136590824
0.1987	3.358	2.75136590824
0.1987	3.408	2.74888486081
0.1987	3.457	2.75924048998
0.1987	3.506	2.76038588572
0.1987	3.556	2.76038588572
0.1987	3.605	2.75951213733
0.1987	3.654	2.76375794488
0.1987	3.704	2.76375794488
0.1987	3.753	2.76375794488
0.1987	3.803	2.76454080086
0.1987	3.852	2.76217606984
0.1987	3.901	2.76217606984
0.1987	3.951	2.75987001046
0.1987	4	2.75987001046

0.2481	0.1	0.277755679826
0.2481	0.1494	0.342475015381
0.2481	0.1987	0.739412191442
0.2481	0.2481	1.08412596837
0.2481	0.2975	1.36221592823
0.2481	0.3468	1.61510984595
0.2481	0.3962	1.77659166191
0.2481	0.4456	1.90567382503
0.2481	0.4949	2.01386118892
