Frequency	Angle	Speed	RealArea	Stdev
80	72	1.0	0.286799075761	0.0949800377499
96	72	1.0	0.23844145844	0.0891188384934
112	72	1.0	0.201684898634	0.0708345837157
128	72	1.0	0.192695646857	0.0739302241698
160	72	1.0	0.161455541307	0.0658949284277
192	72	1.0	0.141582080322	0.060933731978
224	72	1.0	0.116958375082	0.0389774031964
256	72	1.0	0.0962098046273	0.0348407526852
320	72	1.0	0.0993720823703	0.0371748563824
384	72	1.0	0.0751146786088	0.0298819000009
512	72	1.0	0.0494883431676	0.0198334308333
1024	72	1.0	0.0249555049517	0.00777374861214
2048	72	1.0	0.0138014079058	0.00488044280943
4096	72	1.0	0.0070137584297	0.00241846418698

0.5	80	1.0	2.25755496766	0.793408428369
1	80	1.0	2.62852087626	0.581397353165
2	80	1.0	2.44001537116	0.526457747397
4	80	1.0	1.96647707127	0.518311371237
6	80	1.0	1.60838092176	0.500600290614
8	80	1.0	1.35849048342	0.440434462291
10	80	1.0	1.18767840593	0.413042216365
12	80	1.0	1.0154678137	0.353945754598
16	80	1.0	0.876786015836	0.305940867983
20	80	1.0	0.714512805746	0.269364000396
24	80	1.0	0.635564200048	0.232107742929
32	80	1.0	0.50820697095	0.175478176589
40	80	1.0	0.410491227436	0.161532545855
48	80	1.0	0.357087792373	0.143975576798
56	80	1.0	0.309215485566	0.107378851749
64	80	1.0	0.286293347922	0.109656712991
80	80	1.0	0.240849186821	0.0848620394483
96	80	1.0	0.201837334578	0.0749886748113
112	80	1.0	0.166809564894	0.0606485301941
128	80	1.0	0.155059155725	0.0563436110501
160	80	1.0	0.138278291277	0.048055340319
192	80	1.0	0.111257793149	0.0417919755481
224	80	1.0	0.0966137465383	0.0310846103163
256	80	1.0	0.0793202791485	0.0263937122101
320	80	1.0	0.0791889367698	0.0271003464539
384	80	1.0	0.0621787677727	0.0237981474868
512	80	1.0	0.0414491875847	0.0143324811127
1024	80	1.0	0.0204559866186	0.00833804309587
2048	80	1.0	0.0108826490515	0.00375067863425
4096	80	1.0	0.00582919694016	0.00222709923807

0.5	96	1.0	2.55211455719	0.691690618463
1	96	1.0	2.61495359371	0.549943561224
2	96	1.0	2.16889769091	0.507907139558
4	96	1.0	1.62097227342	0.48565155395
