"Frequency"	"Angle"	"Speed"	"RealArea"	"Stdev"	"RaDivSpeed"	"Time"	"TimeDivSpeed"	"Errors"	"CappedErr"	"Frates"
1	90	1.46	5.6932786054	1.1939462242	3.8995058941	0.1894307474	0.1297470872	0.4807692308	0.4807692308	0
2	90	1.46	4.8922578141	1.0607052103	3.3508615165	0.2322356958	0.1590655451	1.2692307692	1.2307692308	1.9230769231
4	90	1.46	3.7001660501	1.0688576668	2.5343603083	0.3059389724	0.2095472414	1.8076923077	1.6346153846	5.7692307692
8	90	1.46	2.489028888	0.8472122877	1.7048143068	0.3001245934	0.20556479	2.3461538462	2.1153846154	9.6153846154
13	90	1.46	1.7845423745	0.6625009864	1.2222892976	0.3541234032	0.2425502762	2.4807692308	1.9230769231	11.5384615385
20	90	1.46	1.2956814088	0.4454435943	0.8874530197	0.3279028276	0.2245909778	1.9230769231	1.4807692308	7.6923076923
30	90	1.46	0.8995521622	0.3097216262	0.616131618	0.2744268136	0.1879635709	1.2692307692	1.2115384615	3.8461538462
										
1	120	1.46	5.1946547283	1.1438089224	3.5579826906	0.1879310127	0.1287198717	0.6923076923	0.6538461538	1.9230769231
2	120	1.46	3.8763373509	1.0691676574	2.6550255828	0.3483739607	0.2386123018	2.1346153846	1.9230769231	5.7692307692
4	120	1.46	2.7720690721	0.9373872319	1.8986774467	0.4778661357	0.3273055724	2.9807692308	2.2692307692	13.4615384615
8	120	1.46	1.6443746676	0.5733015825	1.1262840189	0.3379406349	0.2314661883	2.2115384615	1.7884615385	9.6153846154
13	120	1.46	1.1176349742	0.3837458311	0.765503407	0.3375362663	0.2311892235	2.0769230769	1.7692307692	9.6153846154
20	120	1.46	0.7600555986	0.2627815332	0.5205860265	0.1858160155	0.1272712435	0.7115384615	0.7115384615	0
30	120	1.46	0.5368159248	0.1833585984	0.3676821403	0.1972447558	0.1350991478	0.7692307692	0.7692307692	0
										
1	180	1.46	3.6009293687	1.3009007559	2.4663899785	0.2485489177	0.1702389847	0.9807692308	0.9423076923	3.8461538462
2	180	1.46	2.3071346971	0.8532241084	1.5802292446	0.4775565538	0.32709353	2.8076923077	2.3269230769	13.4615384615
4	180	1.46	1.3394082631	0.5436045159	0.91740292	0.281217873	0.1926149815	1.9038461539	1.75	5.7692307692
8	180	1.46	0.8361784777	0.3191419813	0.5727249847	0.2966395161	0.2031777507	1.4038461539	1.1153846154	3.8461538462
13	180	1.46	0.5285359093	0.1887168996	0.3620108968	0.1695206406	0.1161100278	0.5	0.5	0
20	180	1.46	0.3546035608	0.1268798845	0.2428791512	0.1834929172	0.1256800803	0.5192307692	0.5192307692	0
30	180	1.46	0.2506062422	0.0946930396	0.1716481111	0.1719822241	0.1177960439	0.4038461538	0.4038461538	0
										
1	0	2.19	0	0	0	0.2054229712	0.0938004435	0.7115384615	0.7115384615	0
2	0	2.19	0	0	0	0.1728403664	0.0789225417	0.6346153846	0.6346153846	0
4	0	2.19	0	0	0	0.2079210853	0.0949411348	0.7115384615	0.7115384615	0
8	0	2.19	0	0	0	0.1781908433	0.0813656819	0.3269230769	0.3269230769	0
13	0	2.19	0	0	0	0.1895737836	0.0865633715	0.6923076923	0.6730769231	1.9230769231
20	0	2.19	0	0	0	0.224570673	0.1025436863	0.9038461538	0.9038461538	0
30	0	2.19	0	0	0	0.1578450953	0.072075386	0.4615384615	0.4615384615	0
										
1	30	2.19	6.8705564362	2.8586537901	3.1372403818	0.2239215552	0.1022472855	0.9230769231	0.8461538462	1.9230769231
2	30	2.19	9.2530437624	3.8291259425	4.2251341381	0.2614397429	0.119378878	0.7884615385	0.7884615385	0
4	30	2.19	11.0297525142	3.7192266861	5.0364166732	0.2561895512	0.1169815302	1.4615384615	1.3653846154	1.9230769231
8	30	2.19	11.9028009101	3.0457850782	5.4350689087	0.3001807686	0.1370688441	1.5576923077	1.3846153846	5.7692307692
13	30	2.19	11.6946787034	2.7133623899	5.3400359376	0.3764911408	0.1719137629	2.1346153846	1.8461538462	7.6923076923
20	30	2.19	10.3302833799	2.6279706026	4.7170243744	0.2865636711	0.1308509914	1.9615384615	1.75	11.5384615385
30	30	2.19	9.4436949928	2.4313802979	4.3121894944	0.4752491923	0.2170087636	4.6730769231	2.8076923077	32.6923076923
										
1	60	2.19	10.8344591329	3.7009069892	4.9472416132	0.2161314727	0.0986901702	1.0576923077	1.0576923077	0
2	60	2.19	11.9932375134	2.8760899085	5.4763641614	0.2871905416	0.1311372336	1.6730769231	1.4807692308	5.7692307692
4	60	2.19	11.126990265	2.476673992	5.0808174726	0.3422973582	0.1563001636	2.4038461539	2.0576923077	11.5384615385
8	60	2.19	8.9041877926	2.4263609046	4.0658391747	0.4026446219	0.1838559917	3.5576923077	2.4230769231	30.7692307692
13	60	2.19	6.8207409741	2.0811295886	3.1144935955	0.5760573748	0.2630398972	5.0769230769	2.9230769231	36.5384615385
20	60	2.19	5.2106990741	1.7051003915	2.3793146457	0.6832388503	0.3119812102	8.0192307692	3.3269230769	42.3076923077
30	60	2.19	4.0341575076	1.4752945704	1.8420810537	0.607811554	0.2775395224	7.3653846154	3.5192307692	46.1538461538
										
1	90	2.19	12.6158929916	2.8055001092	5.7606817313	0.2273667708	0.1038204433	0.9230769231	0.9230769231	0
2	90	2.19	11.0996949504	2.5320605634	5.0683538586	0.3951649997	0.1804406391	2.6923076923	1.6346153846	13.4615384615
4	90	2.19	8.383737269	2.4137987443	3.8281905338	0.4665759931	0.2130483987	3.2115384615	2.4615384615	21.1538461538
8	90	2.19	5.8026171606	1.8764995881	2.649596877	0.5271255197	0.2406965844	7.3269230769	3.3653846154	50
13	90	2.19	3.8349163807	1.2972985051	1.7511033702	0.5622256243	0.2567240294	6.5769230769	3.0961538462	36.5384615385
20	90	2.19	2.8026728688	1.0022039507	1.2797593008	0.4570138899	0.2086821415	4.3846153846	2.9807692308	32.6923076923
30	90	2.19	2.1225049474	0.8222768034	0.9691803413	0.3904218297	0.1782748081	4.4615384615	2.7307692308	32.6923076923
										
1	120	2.19	11.8782736419	2.7223302819	5.4238692429	0.2867660295	0.1309433925	1.5	1.3846153846	5.7692307692
2	120	2.19	8.9865652131	2.4963114231	4.1034544352	0.4253263784	0.1942129582	3.0961538462	2.4038461539	17.3076923077
4	120	2.19	5.7456293076	1.9653382486	2.6235750263	0.4047777864	0.1848300395	5.6538461539	2.9038461539	36.5384615385
8	120	2.19	3.6167372439	1.2303138153	1.6514781936	0.5944864373	0.2714549942	7.3461538462	3.5769230769	51.9230769231
13	120	2.19	2.4845077612	0.8604644854	1.1344784298	0.4574828391	0.2088962735	6.2692307692	3.2115384615	38.4615384615
20	120	2.19	1.6810994067	0.6054153224	0.7676252998	0.4864724568	0.2221335419	3.3653846154	2.7115384615	19.2307692308
30	120	2.19	1.2344567276	0.4008513474	0.563678871	0.2418160707	0.1104182971	1.5	1.2884615385	5.7692307692
										
1	180	2.19	7.9845646551	3.1506268339	3.6459199338	0.3313170027	0.1512863026	2.0384615385	1.6923076923	7.6923076923
2	180	2.19	5.3024208203	2.1373489655	2.4211967216	0.6715241982	0.306632054	5.2692307692	2.7884615385	32.6923076923
4	180	2.19	3.175304691	1.1636686814	1.4499108178	0.5480197819	0.2502373434	6.1923076923	3.4615384615	50
8	180	2.19	1.7420247119	0.6934783981	0.7954450739	0.4453063797	0.2033362464	3.1538461539	2.2115384615	19.2307692308
13	180	2.19	1.1937103571	0.4401172735	0.5450732224	0.3429083658	0.1565791625	1.6730769231	1.4230769231	7.6923076923
20	180	2.19	0.8153853177	0.3140278843	0.3723220629	0.2493859154	0.1138748472	1.0769230769	1.0576923077	1.9230769231
30	180	2.19	0.5851476963	0.211538024	0.2671907289	0.2183981268	0.0997251721	1.1538461539	1.1346153846	1.9230769231
