Frequency	Angle	Speed	RealArea	Stdev	RaDivSpeed	Time	TimeDivSpeed	Errors	CappedErr	Frates
8	30	2.19	11.9028009101	3.0457850782	5.4350689087	0.3001807686	0.1370688441	1.5576923077	1.3846153846	5.7692307692
13	30	2.19	11.6946787034	2.7133623899	5.3400359376	0.3764911408	0.1719137629	2.1346153846	1.8461538462	7.6923076923
20	30	2.19	10.3302833799	2.6279706026	4.7170243744	0.2865636711	0.1308509914	1.9615384615	1.75	11.5384615385
30	30	2.19	9.4436949928	2.4313802979	4.3121894944	0.4752491923	0.2170087636	4.6730769231	2.8076923077	32.6923076923
										
4	60	2.19	11.126990265	2.476673992	5.0808174726	0.3422973582	0.1563001636	2.4038461539	2.0576923077	11.5384615385
8	60	2.19	8.9041877926	2.4263609046	4.0658391747	0.4026446219	0.1838559917	3.5576923077	2.4230769231	30.7692307692
13	60	2.19	6.8207409741	2.0811295886	3.1144935955	0.5760573748	0.2630398972	5.0769230769	2.9230769231	36.5384615385
20	60	2.19	5.2106990741	1.7051003915	2.3793146457	0.6832388503	0.3119812102	8.0192307692	3.3269230769	42.3076923077
30	60	2.19	4.0341575076	1.4752945704	1.8420810537	0.607811554	0.2775395224	7.3653846154	3.5192307692	46.1538461538
										
4	90	2.19	8.383737269	2.4137987443	3.8281905338	0.4665759931	0.2130483987	3.2115384615	2.4615384615	21.1538461538
8	90	2.19	5.8026171606	1.8764995881	2.649596877	0.5271255197	0.2406965844	7.3269230769	3.3653846154	50
13	90	2.19	3.8349163807	1.2972985051	1.7511033702	0.5622256243	0.2567240294	6.5769230769	3.0961538462	36.5384615385
20	90	2.19	2.8026728688	1.0022039507	1.2797593008	0.4570138899	0.2086821415	4.3846153846	2.9807692308	32.6923076923
30	90	2.19	2.1225049474	0.8222768034	0.9691803413	0.3904218297	0.1782748081	4.4615384615	2.7307692308	32.6923076923
										
4	120	2.19	5.7456293076	1.9653382486	2.6235750263	0.4047777864	0.1848300395	5.6538461539	2.9038461539	36.5384615385
8	120	2.19	3.6167372439	1.2303138153	1.6514781936	0.5944864373	0.2714549942	7.3461538462	3.5769230769	51.9230769231
13	120	2.19	2.4845077612	0.8604644854	1.1344784298	0.4574828391	0.2088962735	6.2692307692	3.2115384615	38.4615384615
20	120	2.19	1.6810994067	0.6054153224	0.7676252998	0.4864724568	0.2221335419	3.3653846154	2.7115384615	19.2307692308
30	120	2.19	1.2344567276	0.4008513474	0.563678871	0.2418160707	0.1104182971	1.5	1.2884615385	5.7692307692
										
4	180	2.19	3.175304691	1.1636686814	1.4499108178	0.5480197819	0.2502373434	6.1923076923	3.4615384615	50
8	180	2.19	1.7420247119	0.6934783981	0.7954450739	0.4453063797	0.2033362464	3.1538461539	2.2115384615	19.2307692308
13	180	2.19	1.1937103571	0.4401172735	0.5450732224	0.3429083658	0.1565791625	1.6730769231	1.4230769231	7.6923076923
20	180	2.19	0.8153853177	0.3140278843	0.3723220629	0.2493859154	0.1138748472	1.0769230769	1.0576923077	1.9230769231
30	180	2.19	0.5851476963	0.211538024	0.2671907289	0.2183981268	0.0997251721	1.1538461539	1.1346153846	1.9230769231
