Angle	Frequency	AF	ARF	ax	bx	cx
96.0	2.0	192.0	135.764501988	2.20377108913	0	0
56.0	6.0	336.0	137.171425596	2.21996778944	0	0
40.0	12.0	480.0	138.564064606	2.13955667311	0	0
32.0	20.0	640.0	143.10835056	2.14422591552	0	0
16.0	80.0	1280.0	143.10835056	2.17899547248	0	0
8.0	320.0	2560.0	143.10835056	2.28414871241	0	0
72.0	4.0	288.0	144.0	2.10676888646	0	0
144.0	1.0	144.0	144.0	2.14476362003	0	0
48.0	10.0	480.0	151.789327688	2.01650877196	0	0
24.0	40.0	960.0	151.789327688	2.05072745133	0	0
32.0	24.0	768.0	156.767343538	2.04145566887	0	0
16.0	96.0	1536.0	156.767343538	1.98913711893	0	0
8.0	384.0	3072.0	156.767343538	2.14924600143	0	0
64.0	6.0	384.0	156.767343538	2.00761011591	0	0
112.0	2.0	224.0	158.391918986	2.02514037006	0	0
56.0	8.0	448.0	158.391918986	1.8535659257	0	0
160.0	1.0	160.0	160.0	1.96365643623	0	0
80.0	4.0	320.0	160.0	1.95613108946	0	0
40.0	16.0	640.0	160.0	1.94457965969	0	0
24.0	48.0	1152.0	166.276877527	1.87886274639	0	0
48.0	12.0	576.0	166.276877527	1.91925625626	0	0
16.0	112.0	1792.0	169.328083908	1.88090085714	0	0
72.0	6.0	432.0	176.36326148	1.76521791973	0	0
56.0	10.0	560.0	177.087548969	1.82145279163	0	0
40.0	20.0	800.0	178.8854382	1.8084481793	0	0
24.0	56.0	1344.0	179.599554565	1.73077764008	0	0
180.0	1.0	180.0	180.0	1.71180898815	0	0
64.0	8.0	512.0	181.019335984	1.77964753968	0	0
4.0	2048.0	8192.0	181.019335984	1.77281576074	0	0
16.0	128.0	2048.0	181.019335984	1.75451414821	0	0
32.0	32.0	1024.0	181.019335984	1.77290300509	0	0
8.0	512.0	4096.0	181.019335984	1.8168720249	0	0
128.0	2.0	256.0	181.019335984	1.65161709765	0	0
48.0	16.0	768.0	192.0	1.57893340364	0	0
96.0	4.0	384.0	192.0	1.66890544628	0	0
24.0	64.0	1536.0	192.0	1.62158909183	0	0
56.0	12.0	672.0	193.989690448	1.62435884661	0	0
80.0	6.0	480.0	195.959179423	1.65967049302	0	0
40.0	24.0	960.0	195.959179423	1.55297981786	0	0
