	"#Angle"	"Frequency"	"Speed"	"Average_Time"	"Errors"	"Capped_Errors"	"Failure_rate"	2
117	120	20	0.81	0.4864724568	3.3653846154	2.7115384615	19.2307692308	1.6956791888
118	120	30	0.81	0.2418160707	1.5	1.2884615385	5.7692307692	1.5186172867
								
119	180	1	0.81	0.3313170027	2.0384615385	1.6923076923	7.6923076923	4.9526196118
120	180	2	0.81	0.6715241982	5.2692307692	2.7884615385	32.6923076923	3.77479735
121	180	4	0.81	0.5480197819	6.1923076923	3.4615384615	50	2.9162276871
122	180	8	0.81	0.4453063797	3.1538461539	2.2115384615	19.2307692308	1.7876815323
123	180	13	0.81	0.3429083658	1.6730769231	1.4230769231	7.6923076923	1.704492268
124	180	20	0.81	0.2493859154	1.0769230769	1.0576923077	1.9230769231	1.2953885225
125	180	30	0.81	0.2183981268	1.1538461539	1.1346153846	1.9230769231	1.1413983216
