"Frequency"	"Angle"	"Speed"	"RealArea"	"RealAreaDivSS"	"Stdev"	"RaDivSpeed"	"Time"	"TimeDivSpeed"	"TimeDivSS"	"Errors"	"CappedErr"	"Frates"	"Perims2s"	"Perims5s"
30	60	2.19	4.0341575076	0.8411329012	1.4752945704	1.8420810537	0.607811554	0.2775395224	0.1267303755	7.3653846154	3.5192307692	46.1538461538	2.9618982904	7.404745726
														
8	90	2.19	5.8026171606	1.2098615877	1.8764995881	2.649596877	0.5271255197	0.2406965844	0.1099071161	7.3269230769	3.3653846154	50	3.7117930777	9.2794826942
13	90	2.19	3.8349163807	0.79959058	1.2972985051	1.7511033702	0.5622256243	0.2567240294	0.1172255842	6.5769230769	3.0961538462	36.5384615385	3.1934908826	7.9837272065
20	90	2.19	2.8026728688	0.5843649775	1.0022039507	1.2797593008	0.4570138899	0.2086821415	0.0952886491	4.3846153846	2.9807692308	32.6923076923	2.2019015186	5.5047537965
30	90	2.19	2.1225049474	0.442548101	0.8222768034	0.9691803413	0.3904218297	0.1782748081	0.081404022	4.4615384615	2.7307692308	32.6923076923	1.9637634404	4.9094086009
														
8	120	2.19	3.6167372439	0.7540996318	1.2303138153	1.6514781936	0.5944864373	0.2714549942	0.1239520521	7.3461538462	3.5769230769	51.9230769231	2.7211987298	6.8029968244
13	120	2.19	2.4845077612	0.5180266803	0.8604644854	1.1344784298	0.4574828391	0.2088962735	0.0953864263	6.2692307692	3.2115384615	38.4615384615	2.0221422413	5.0553556032
20	120	2.19	1.6810994067	0.3505138356	0.6054153224	0.7676252998	0.4864724568	0.2221335419	0.1014308411	3.3653846154	2.7115384615	19.2307692308	1.6956791888	4.239197972
30	120	2.19	1.2344567276	0.2573876124	0.4008513474	0.563678871	0.2418160707	0.1104182971	0.0504193138	1.5	1.2884615385	5.7692307692	1.5186172867	3.7965432167
														
8	180	2.19	1.7420247119	0.3632169287	0.6934783981	0.7954450739	0.4453063797	0.2033362464	0.0928476011	3.1538461539	2.2115384615	19.2307692308	1.7876815323	4.4692038307
13	180	2.19	1.1937103571	0.2488918824	0.4401172735	0.5450732224	0.3429083658	0.1565791625	0.0714973345	1.6730769231	1.4230769231	7.6923076923	1.704492268	4.2612306701
20	180	2.19	0.8153853177	0.1700100744	0.3140278843	0.3723220629	0.2493859154	0.1138748472	0.0519976471	1.0769230769	1.0576923077	1.9230769231	1.2953885225	3.2384713062
30	180	2.19	0.5851476963	0.122004899	0.211538024	0.2671907289	0.2183981268	0.0997251721	0.0455366082	1.1538461539	1.1346153846	1.9230769231	1.1413983216	2.8534958041
