"Frequency"	"Angle"	"Speed"	"RealArea"	"RealAreaDivSS"	"Stdev"	"RaDivSpeed"	"Time"	"TimeDivSpeed"	"TimeDivSS"	"Errors"	"CappedErr"	"Frates"	"Perims2s"	"Perims5s"
1	180	1.46	3.6009293687	1.6893082045	1.3009007559	2.4663899785	0.2485489177	0.1702389847	0.1166020443	0.9807692308	0.9423076923	3.8461538462	2.8372671199	7.0931677998
2	180	1.46	2.3071346971	1.0823487977	0.8532241084	1.5802292446	0.4775565538	0.32709353	0.2240366644	2.8076923077	2.3269230769	13.4615384615	2.4640562898	6.1601407246
4	180	1.46	1.3394082631	0.6283581643	0.5436045159	0.91740292	0.281217873	0.1926149815	0.1319280695	1.9038461539	1.75	5.7692307692	1.8518924129	4.6297310322
8	180	1.46	0.8361784777	0.3922773868	0.3191419813	0.5727249847	0.2966395161	0.2031777507	0.139162843	1.4038461539	1.1153846154	3.8461538462	1.3725789707	3.4314474267
13	180	1.46	0.5285359093	0.247952669	0.1887168996	0.3620108968	0.1695206406	0.1161100278	0.0795274163	0.5	0.5	0	1.053842908	2.6346072701
20	180	1.46	0.3546035608	0.166355583	0.1268798845	0.2428791512	0.1834929172	0.1256800803	0.0860822468	0.5192307692	0.5192307692	0	0.9716618015	2.4291545037
30	180	1.46	0.2506062422	0.1175671994	0.0946930396	0.1716481111	0.1719822241	0.1177960439	0.0806822219	0.4038461538	0.4038461538	0	0.8439331958	2.1098329894
														
1	0	2.19	0	0	0	0	0.2054229712	0.0938004435	0.0428312527	0.7115384615	0.7115384615	0	0	0
2	0	2.19	0	0	0	0	0.1728403664	0.0789225417	0.0360376903	0.6346153846	0.6346153846	0	0	0
4	0	2.19	0	0	0	0	0.2079210853	0.0949411348	0.0433521164	0.7115384615	0.7115384615	0	0	0
8	0	2.19	0	0	0	0	0.1781908433	0.0813656819	0.0371532794	0.3269230769	0.3269230769	0	0	0
13	0	2.19	0	0	0	0	0.1895737836	0.0865633715	0.0395266537	0.6923076923	0.6730769231	1.9230769231	0	0
20	0	2.19	0	0	0	0	0.224570673	0.1025436863	0.0468236011	0.9038461538	0.9038461538	0	0	0
30	0	2.19	0	0	0	0	0.1578450953	0.072075386	0.0329111352	0.4615384615	0.4615384615	0	0	0
														
