Angle	Frequency	ax	bx	cx
180	40	0.0900671169969	0	0

0.5	48	0.18562189513	0	0
1	48	0.363967894301	0	0
2	48	0.735580035913	0	0
4	48	1.29978726574	0	0
8	48	2.06311998477	0	0
16	48	2.40393338019	0	0
24	48	1.87886274639	0	0
32	48	1.39641299827	0	0
40	48	1.02434546208	0	0
48	48	0.853409791827	0	0
56	48	0.636308185393	0	0
64	48	0.54265395493	0	0
72	48	0.435758114116	0	0
80	48	0.343867178799	0	0
96	48	0.249994369012	0	0
112	48	0.194351008164	0	0
128	48	0.143167535492	0	0
144	48	0.120042611005	0	0
160	48	0.0909522680542	0	0
180	48	0.076714319872	0	0

0.5	56	0.202483616616	0	0
1	56	0.363820721687	0	0
2	56	0.791541757258	0	0
4	56	1.2692997922	0	0
8	56	2.20883899081	0	0
16	56	2.41285021298	0	0
24	56	1.73077764008	0	0
32	56	1.27350985501	0	0
40	56	0.976790892657	0	0
48	56	0.724207293868	0	0
56	56	0.551348459225	0	0
64	56	0.465883034692	0	0
72	56	0.387121423495	0	0
80	56	0.286368262761	0	0
96	56	0.218738340553	0	0
112	56	0.161085524837	0	0
128	56	0.118352507177	0	0
144	56	0.0996701021414	0	0
160	56	0.0790298592945	0	0
180	56	0.0630804957712	0	0

0.5	64	0.205263382308	0	0
1	64	0.406351174836	0	0
2	64	0.731428513021	0	0
4	64	1.53538790342	0	0
8	64	2.42130865974	0	0
16	64	2.26009918937	0	0
24	64	1.62158909183	0	0
32	64	1.19826020564	0	0
40	64	0.859931517441	0	0
48	64	0.652838344816	0	0
56	64	0.503713957084	0	0
64	64	0.417345678262	0	0
72	64	0.342040402094	0	0
80	64	0.283725531486	0	0
96	64	0.198790704305	0	0
112	64	0.146188881061	0	0
128	64	0.114959252469	0	0
144	64	0.090184620275	0	0
160	64	0.072515381887	0	0
180	64	0.0547022255079	0	0

0.5	80	0.217205424293	0	0
1	80	0.415004233345	0	0
2	80	0.879837915781	0	0
4	80	1.6249961929	0	0
8	80	2.46531232085	0	0
16	80	2.17899547248	0	0
24	80	1.46689013877	0	0
32	80	1.06161038933	0	0
40	80	0.776753085809	0	0
48	80	0.578442845073	0	0
56	80	0.442335912696	0	0
64	80	0.36030253542	0	0
72	80	0.28800343297	0	0
80	80	0.232017418434	0	0
96	80	0.164573005346	0	0
112	80	0.123418513445	0	0
128	80	0.0910988989481	0	0
144	80	0.0702519387681	0	0
160	80	0.0541670851869	0	0
180	80	0.0484520490315	0	0

0.5	96	0.241410075358	0	0
1	96	0.477782381824	0	0
2	96	0.96672831698	0	0
4	96	1.51618463704	0	0
8	96	2.44116323272	0	0
16	96	1.98913711893	0	0
24	96	1.40213625167	0	0
32	96	0.94360505378	0	0
40	96	0.65706933056	0	0
48	96	0.471623716044	0	0
56	96	0.397193020524	0	0
64	96	0.31223360408	0	0
72	96	0.253507999764	0	0
80	96	0.197287044197	0	0
96	96	0.15446644435	0	0
112	96	0.105239932413	0	0
128	96	0.0803944415529	0	0
144	96	0.060526472352	0	0
160	96	0.0496252695826	0	0
180	96	0.0377004961788	0	0

0.5	112	0.260818282499	0	0
1	112	0.526477610667	0	0
2	112	1.02718714462	0	0
4	112	1.91682936717	0	0
8	112	2.38983977551	0	0
16	112	1.88090085714	0	0
24	112	1.22030645952	0	0
32	112	0.822593683222	0	0
40	112	0.598009186385	0	0
48	112	0.420369874133	0	0
56	112	0.321573808785	0	0
64	112	0.253628607588	0	0
72	112	0.207875872355	0	0
80	112	0.167984122857	0	0
96	112	0.120472521864	0	0
112	112	0.0827585811357	0	0
128	112	0.0657473118444	0	0
144	112	0.0527706644663	0	0
160	112	0.0414646541576	0	0
180	112	0.0329263347264	0	0

0.5	128	0.292299439732	0	0
1	128	0.566186469761	0	0
2	128	1.13184368914	0	0
4	128	1.98342617077	0	0
8	128	2.52314122797	0	0
16	128	1.75451414821	0	0
24	128	1.12228258068	0	0
32	128	0.743805171104	0	0
40	128	0.506869951947	0	0
48	128	0.37754112257	0	0
56	128	0.301650826416	0	0
64	128	0.231746621165	0	0
72	128	0.19396859365	0	0
80	128	0.160456598276	0	0
96	128	0.108223857171	0	0
112	128	0.0739806730276	0	0
128	128	0.0564895153016	0	0
144	128	0.0445017575219	0	0
160	128	0.0374744087713	0	0
180	128	0.0305202987758	0	0

0.5	160	0.287831663472	0	0
1	160	0.596284859116	0	0
2	160	1.14934532944	0	0
4	160	1.97100484831	0	0
8	160	2.55877626221	0	0
16	160	1.62031721921	0	0
24	160	1.06831642241	0	0
32	160	0.644281113511	0	0
40	160	0.456022895496	0	0
48	160	0.345838739988	0	0
56	160	0.253756885777	0	0
64	160	0.208225532762	0	0
72	160	0.165635723083	0	0
80	160	0.142771869695	0	0
96	160	0.0979796610899	0	0
112	160	0.0690039748303	0	0
128	160	0.0536719858114	0	0
144	160	0.0405636168748	0	0
160	160	0.0324939008346	0	0
180	160	0.0246872231573	0	0

0.5	192	0.304946846219	0	0
1	192	0.668185922506	0	0
2	192	1.2289163363	0	0
4	192	2.1057571855	0	0
8	192	2.5365732736	0	0
16	192	1.5617845463	0	0
24	192	0.923024195081	0	0
32	192	0.600343243407	0	0
40	192	0.389055931637	0	0
48	192	0.299238467364	0	0
56	192	0.247574538743	0	0
64	192	0.171380529449	0	0
72	192	0.150229415072	0	0
80	192	0.122782276011	0	0
96	192	0.0851204887139	0	0
112	192	0.0594560969969	0	0
128	192	0.0442403505251	0	0
144	192	0.0334395564044	0	0
160	192	0.0294762790088	0	0
180	192	0.0220018218618	0	0

0.5	224	0.353547754657	0	0
1	224	0.713528009928	0	0
2	224	1.36133894029	0	0
4	224	2.25817452379	0	0
8	224	2.33755087481	0	0
16	224	1.33529948051	0	0
24	224	0.776713549883	0	0
32	224	0.496067301711	0	0
40	224	0.367116286737	0	0
48	224	0.254168699769	0	0
56	224	0.193043858932	0	0
64	224	0.150654624112	0	0
72	224	0.123831854863	0	0
80	224	0.103413827751	0	0
96	224	0.068123007771	0	0
112	224	0.0501953389542	0	0
128	224	0.037902933674	0	0
144	224	0.0288109376301	0	0
160	224	0.0230454745818	0	0
180	224	0.0174168272825	0	0

0.5	256	0.425778300114	0	0
1	256	0.744176434677	0	0
2	256	1.47979507189	0	0
4	256	2.24128454199	0	0
8	256	2.24636808398	0	0
16	256	1.2484656874	0	0
24	256	0.707023062361	0	0
32	256	0.449217474564	0	0
40	256	0.283793938547	0	0
48	256	0.192341516029	0	0
56	256	0.156399191398	0	0
64	256	0.121899858762	0	0
72	256	0.0979403110203	0	0
80	256	0.0767373689701	0	0
96	256	0.0561209871087	0	0
112	256	0.0402094992389	0	0
128	256	0.0311175469226	0	0
144	256	0.0237611121358	0	0
160	256	0.0192334541891	0	0
180	256	0.0155994394065	0	0

0.5	320	0.369844819944	0	0
1	320	0.791123341766	0	0
2	320	1.4299467376	0	0
4	320	2.28092867016	0	0
8	320	2.28414871241	0	0
16	320	1.20707400107	0	0
24	320	0.683108258618	0	0
32	320	0.436261465659	0	0
40	320	0.295767423718	0	0
48	320	0.209256680632	0	0
56	320	0.158414593315	0	0
64	320	0.123442992488	0	0
72	320	0.104405728794	0	0
80	320	0.0769081324735	0	0
96	320	0.0545875407612	0	0
112	320	0.0410209088639	0	0
128	320	0.0308121720267	0	0
144	320	0.0236406219631	0	0
160	320	0.0180794666022	0	0
180	320	0.0148420991733	0	0

0.5	384	0.471049441401	0	0
1	384	0.810126274297	0	0
2	384	1.60963443537	0	0
4	384	2.2915396746	0	0
8	384	2.14924600143	0	0
16	384	1.03902970751	0	0
24	384	0.555883134873	0	0
32	384	0.348417457079	0	0
40	384	0.226384394279	0	0
48	384	0.16338620197	0	0
56	384	0.12342897542	0	0
64	384	0.0912323562123	0	0
72	384	0.0766990733224	0	0
80	384	0.0590391850025	0	0
96	384	0.0413276230306	0	0
112	384	0.030732570274	0	0
128	384	0.0225252389009	0	0
144	384	0.0171980286694	0	0
160	384	0.0143229638622	0	0
180	384	0.0119801888431	0	0

0.5	512	0.528556611793	0	0
