i	speed	frequency	angle	area	area/speed2	normedArea/s2	difficulty	amplitude	time	errors	product	product_-2.0	product_-1.5	product_-1.0	product_-0.5	product_0.0	product_0.5	product_1.5	product_2.0
8	3	32	180	0.8901154	0.09890171	0.03477458	2.04167	4.5	1.682251	1.0	3.364502	2.0005448584204424	2.1494184418672826	2.3790621795157016	2.746320042751752	3.364502	4.483441399184774	11.94901758413217	26.916016
9	3	32	90	3.2082200000000003	0.35646890000000003	0.1253372	2.5893200000000003	4.5	1.182495	0.0	1.182495	1.182495	1.182495	1.182495	1.182495	1.182495	1.182495	1.182495	1.182495
10	5	32	180	2.472543	0.09890171	0.03477458	3.4027839999999996	4.5	1.298218	1.0	2.596436	1.5438500824246026	1.6587380306292343	1.835957502516875	2.11937583229916	2.596436	3.459938098635019	9.221233757647877	20.771488
11	3	4	90	17.31625	1.9240279999999998	0.6765026	3.375697	4.5	1.032593	0.0	1.032593	1.032593	1.032593	1.032593	1.032593	1.032593	1.032593	1.032593	1.032593
12	3	32	45	10.66099	1.184555	0.41649830000000004	3.5497980000000005	4.5	0.9907226999999998	0.0	0.9907226999999998	0.9907226999999998	0.9907226999999998	0.9907226999999998	0.9907226999999998	0.9907226999999998	0.9907226999999998	0.9907226999999998	0.9907226999999998
13	5	8	180	8.911724000000001	0.356469	0.1253372	4.315533	4.5	1.506348	0.0	1.506348	1.506348	1.506348	1.506348	1.506348	1.506348	1.506348	1.506348	1.506348
14	3	1	0	0.0	0.0	0.0	1.8	4.5	1.099487	0.0	1.099487	1.099487	1.099487	1.099487	1.099487	1.099487	1.099487	1.099487	1.099487
15	3	16	45	17.31625	1.9240279999999998	0.6765026	3.375697	4.5	1.673218	0.0	1.673218	1.673218	1.673218	1.673218	1.673218	1.673218	1.673218	1.673218	1.673218
16	3	4	45	25.52536	2.8361520000000002	0.9972122	1.8200169999999998	4.5	4.246216	1.0	8.492432	5.049630279038395	5.425406184066424	6.005056255965635	6.932061925748997	8.492432	11.316777700997518	30.160843803940892	67.939456
17	3	16	180	1.695271	0.18836340000000001	0.06622999	2.245274	4.5	2.305542	0.0	2.305542	2.305542	2.305542	2.305542	2.305542	2.305542	2.305542	2.305542	2.305542
18	3	4	180	5.971319	0.6634799	0.23328449999999998	3.087812	4.5	1.365845	0.0	1.365845	1.365845	1.365845	1.365845	1.365845	1.365845	1.365845	1.365845	1.365845
19	5	16	180	4.709085	0.18836340000000001	0.06622999	3.7421230000000003	4.5	1.557617	0.0	1.557617	1.557617	1.557617	1.557617	1.557617	1.557617	1.557617	1.557617	1.557617
20	5	16	45	48.10069	1.9240279999999998	0.6765025	5.626163	4.5	1.039917	0.0	1.039917	1.039917	1.039917	1.039917	1.039917	1.039917	1.039917	1.039917	1.039917
21	5	32	90	8.911724000000001	0.356469	0.1253372	4.315533	4.5	1.173828	0.0	1.173828	1.173828	1.173828	1.173828	1.173828	1.173828	1.173828	1.173828	1.173828
22	3	8	180	3.2082200000000003	0.35646890000000003	0.1253372	2.5893200000000003	4.5	1.290649	1.0	2.581298	1.5348489737711468	1.6490670908072376	1.8252533200632728	2.1070192360459323	2.581298	3.4397656226189963	9.167471201350214	20.650384
23	3	8	45	23.60454	2.6227270000000003	0.9221705	2.3167590000000002	4.5	0.8658447	0.0	0.8658447	0.8658447	0.8658447	0.8658447	0.8658447	0.8658447	0.8658447	0.8658447	0.8658447
24	5	32	45	29.61386	1.184555	0.41649830000000004	5.91633	4.5	4.405518	1.0	8.811036	5.239073350872557	5.628946949758548	6.230343304878793	7.192126729069332	8.811036	11.741340493216354	31.292364842827133	70.488288
25	3	8	90	10.66099	1.184555	0.41649830000000004	3.5497980000000005	4.5	1.089233	0.0	1.089233	1.089233	1.089233	1.089233	1.089233	1.089233	1.089233	1.089233	1.089233
0	5	1	0	0.0	0.0	0.0	3.0	4.5	7.018555	6.0	49.129885	11.416217059986803	13.964808513024115	18.56935109302894	27.785758864243537	49.129885	110.00104660601622	1724.0343994481705	16851.550555
1	5	4	45	70.90379	2.8361509999999996	0.9972120999999999	3.033362	4.5	1.997437	0.0	1.997437	1.997437	1.997437	1.997437	1.997437	1.997437	1.997437	1.997437	1.997437
2	5	4	90	48.10069	1.9240279999999998	0.6765025	5.626163	4.5	2.339966	3.0	9.359864	3.3092116526919217	3.820057485570017	4.679932	6.236346678994275	9.359864	16.620762823307235	118.05716699671355	599.031296
3	5	8	90	29.61386	1.184555	0.41649830000000004	5.91633	4.5	1.1831049999999999	0.0	1.1831049999999999	1.1831049999999999	1.1831049999999999	1.1831049999999999	1.1831049999999999	1.1831049999999999	1.1831049999999999	1.1831049999999999	1.1831049999999999
4	5	16	90	16.587	0.6634799	0.23328449999999998	5.146354	4.5	4.529419	7.0	36.235352	7.617544400564128	9.44785075967446	12.811131558940763	19.70713770951225	36.235352	85.74417087526672	1623.180111861353	18552.500224
