i	speed	frequency	angle	area	area/speed2	normedArea/s2	difficulty	amplitude	time	errors	product	product_-2.0	product_-1.5	product_-1.0	product_-0.5	product_0.0	product_0.5	product_1.5	product_2.0
13	5	8	45	65.56818	2.6227270000000003	0.9221705	3.861265	4.5	1.974861	0.0	1.974861	1.974861	1.974861	1.974861	1.974861	1.974861	1.974861	1.974861	1.974861
14	3	16	180	1.695271	0.18836340000000001	0.06622998	2.245274	4.5	0.7478600000000001	0.0	0.7478600000000001	0.7478600000000001	0.7478600000000001	0.7478600000000001	0.7478600000000001	0.7478600000000001	0.7478600000000001	0.7478600000000001	0.7478600000000001
15	5	4	90	48.10069	1.9240279999999998	0.6765025	5.626163	4.5	1.0236239999999999	0.0	1.0236239999999999	1.0236239999999999	1.0236239999999999	1.0236239999999999	1.0236239999999999	1.0236239999999999	1.0236239999999999	1.0236239999999999	1.0236239999999999
16	5	1	0	0.0	0.0	0.0	3.0	4.5	0.982769	0.0	0.982769	0.982769	0.982769	0.982769	0.982769	0.982769	0.982769	0.982769	0.982769
17	5	8	90	29.61386	1.184555	0.4164982	5.91633	4.5	0.9908524	0.0	0.9908524	0.9908524	0.9908524	0.9908524	0.9908524	0.9908524	0.9908524	0.9908524	0.9908524
18	3	4	90	17.31625	1.9240279999999998	0.6765025	3.3756980000000003	4.5	1.281754	0.0	1.281754	1.281754	1.281754	1.281754	1.281754	1.281754	1.281754	1.281754	1.281754
19	3	32	180	0.8901154	0.09890171	0.03477458	2.04167	4.5	1.174236	0.0	1.174236	1.174236	1.174236	1.174236	1.174236	1.174236	1.174236	1.174236	1.174236
20	3	8	180	3.2082200000000003	0.35646890000000003	0.1253371	2.5893200000000003	4.5	1.0906719999999999	0.0	1.0906719999999999	1.0906719999999999	1.0906719999999999	1.0906719999999999	1.0906719999999999	1.0906719999999999	1.0906719999999999	1.0906719999999999	1.0906719999999999
21	5	4	45	70.90379	2.8361509999999996	0.9972120000000001	3.033363	4.5	1.7152939999999999	0.0	1.7152939999999999	1.7152939999999999	1.7152939999999999	1.7152939999999999	1.7152939999999999	1.7152939999999999	1.7152939999999999	1.7152939999999999	1.7152939999999999
22	5	16	90	16.587	0.6634799	0.23328449999999998	5.146354	4.5	2.114952	1.0	4.229904	2.515115966289235	2.702282140099244	2.9909938021681026	3.4527160733195608	4.229904	5.636651934870978	15.022489888604913	33.839232
23	3	16	45	17.31625	1.9240279999999998	0.6765025	3.3756980000000003	4.5	1.881145	1.0	3.76229	2.2370710183517937	2.4035460551525483	2.6603407717903362	3.071019851866484	3.76229	5.013522578301004	13.361760333804117	30.09832
24	5	16	45	48.10069	1.9240279999999998	0.6765025	5.626163	4.5	1.123684	0.0	1.123684	1.123684	1.123684	1.123684	1.123684	1.123684	1.123684	1.123684	1.123684
25	3	8	90	10.66099	1.184555	0.4164982	3.5497980000000005	4.5	0.8905181999999999	0.0	0.8905181999999999	0.8905181999999999	0.8905181999999999	0.8905181999999999	0.8905181999999999	0.8905181999999999	0.8905181999999999	0.8905181999999999	0.8905181999999999
0	3	4	180	5.971319	0.6634799	0.23328449999999998	3.087812	4.5	2.1902310000000003	0.0	2.1902310000000003	2.1902310000000003	2.1902310000000003	2.1902310000000003	2.1902310000000003	2.1902310000000003	2.1902310000000003	2.1902310000000003	2.1902310000000003
1	3	1	0	0.0	0.0	0.0	1.8	4.5	1.7726330000000001	2.0	5.317899000000001	2.3329162258020157	2.614006525268612	3.070290419173242	3.8547348008002116	5.317899000000001	8.382434708425402	39.638894029962685	143.58327300000002
