Angle	Frequency	m	p	ARF	AF	m
128	2	5.9120240244	-0.0796737481	181.0193359838	256	5.9120240244
64	8	5.9804016409	-0.0269435541	181.0193359838	512	5.9804016409
32	32	6.0511108883	0.0141451138	181.0193359838	1024	6.0511108883
16	128	6.064449925	-0.0679558157	181.0193359838	2048	6.064449925
8	512	6.1010720394	-0.0962763893	181.0193359838	4096	6.1010720394
96	4	5.6730484564	-0.0130564786	192	384	5.6730484564
48	16	5.8679729754	-0.1059206048	192	768	5.8679729754
24	64	5.762090217	0.0345453096	192	1536	5.762090217
56	12	5.7328303265	-0.0039264716	193.9896904477	672	5.7328303265
80	6	5.6865393773	-0.0884483127	195.9591794227	480	5.6865393773
40	24	5.8414142213	-0.1801067244	195.9591794227	960	5.8414142213
64	10	5.4642097534	0.0113144566	202.3857702508	640	5.4642097534
32	40	5.6691623288	-0.0523120672	202.3857702508	1280	5.6691623288
16	160	5.6746554987	0.172478837	202.3857702508	2560	5.6746554987
144	2	5.4539929285	-0.0787517384	203.6467529817	288	5.4539929285
72	8	5.4719954869	0.0269644296	203.6467529817	576	5.4719954869
48	20	5.4614359928	-0.0830227163	214.66252584	960	5.4614359928
24	80	5.4081565789	0.0699866624	214.66252584	1920	5.4081565789
64	12	5.1537993618	0.0610703145	221.7025033688	768	5.1537993618
32	48	5.3406438594	-0.0952444187	221.7025033688	1536	5.3406438594
16	192	5.4448354378	0.0785193052	221.7025033688	3072	5.4448354378
112	4	5.1245688973	-0.0201713999	224	448	5.1245688973
56	16	5.1610529142	0.0139941654	224	896	5.1610529142
160	2	4.9202500719	0.1085044599	226.2741699797	320	4.9202500719
80	8	5.0484825444	0.0779865889	226.2741699797	640	5.0484825444
40	32	5.2734249456	-0.0800286278	226.2741699797	1280	5.2734249456
72	10	5.1231905701	0.0026541259	227.6839915321	720	5.1231905701
96	6	4.8549393009	0.1406451332	235.1510153072	576	4.8549393009
48	24	5.0841299276	-0.0609015181	235.1510153072	1152	5.0841299276
24	96	5.138479726	-0.0151410441	235.1510153072	2304	5.138479726
32	56	4.8763407691	0.1011094943	239.4660727535	1792	4.8763407691
16	224	5.2238402659	-0.0771725995	239.4660727535	3584	5.2238402659
72	12	4.7706038039	0.016617748	249.4153162899	864	4.7706038039
56	20	4.8043270676	-0.056634889	250.43961348	1120	4.8043270676
80	10	4.7634355318	-0.1033288018	252.9822128135	800	4.7634355318
40	40	4.8730618655	-0.0339429739	252.9822128135	1600	4.8730618655
24	112	4.8227058213	-0.059730644	253.9921258622	2688	4.8227058213
180	2	4.660655104	-0.0064182276	254.5584412272	360	4.660655104
128	4	4.6112695833	-0.0184131636	256	512	4.6112695833
64	16	4.5680305804	0.1295872011	256	1024	4.5680305804
32	64	4.720787087	0.0446344056	256	2048	4.720787087
16	256	4.7141155513	0.1076934629	256	4096	4.7141155513
96	8	4.3850359182	0.0649302631	271.5290039756	768	4.3850359182
